Date,Close
2011-10-28,634.5
2011-10-31,633.89
2011-11-01,634.05
2011-11-02,634.25
2011-11-03,633.5
2011-11-04,632.56
2011-11-07,633.4
2011-11-08,633.3
2011-11-09,632.7
2011-11-10,633.4
2011-11-11,632.84
2011-11-14,634.0
2011-11-15,633.3
2011-11-16,633.1
2011-11-17,633.65
2011-11-18,634.15
2011-11-21,634.6
2011-11-22,634.82
2011-11-23,634.45
2011-11-24,635.1
2011-11-25,636.2
2011-11-28,637.2
2011-11-29,636.3
2011-11-30,636.52
2011-12-01,635.56
2011-12-02,634.75
2011-12-05,635.0
2011-12-06,635.23
2011-12-07,635.29
2011-12-08,634.95
2011-12-09,635.1
2011-12-12,634.77
2011-12-13,635.25
2011-12-14,635.73
2011-12-15,636.0
2011-12-16,634.6
2011-12-19,632.7
2011-12-20,633.6
2011-12-21,632.7
2011-12-22,632.7
2011-12-23,632.43
2011-12-26,630.51
2011-12-27,631.04
2011-12-28,630.61
2011-12-29,630.61
2011-12-30,627.42
2012-01-02,627.42
2012-01-03,627.42
2012-01-04,628.02
2012-01-05,628.79
2012-01-06,629.21
2012-01-09,629.91
2012-01-10,629.81
2012-01-11,630.31
2012-01-12,630.41
2012-01-13,629.11
2012-01-16,629.81
2012-01-17,629.76
2012-01-18,629.81
2012-01-19,630.21
2012-01-20,630.61
2012-01-23,630.61
2012-01-24,630.61
2012-01-25,630.61
2012-01-26,630.61
2012-01-27,629.81
2012-01-30,631.61
2012-01-31,629.41
2012-02-01,629.36
2012-02-02,628.51
2012-02-03,628.94
2012-02-06,629.88
2012-02-07,628.96
2012-02-08,628.02
2012-02-09,628.02
2012-02-10,628.61
2012-02-13,628.31
2012-02-14,628.71
2012-02-15,628.56
2012-02-16,628.88
2012-02-17,628.41
2012-02-20,628.66
2012-02-21,628.12
2012-02-22,628.21
2012-02-23,628.5
2012-02-24,628.26
2012-02-27,628.81
2012-02-28,628.51
2012-02-29,628.09
2012-03-01,628.61
2012-03-02,628.41
2012-03-05,629.31
2012-03-06,629.36
2012-03-07,629.58
2012-03-08,630.16
2012-03-09,629.81
2012-03-12,631.16
2012-03-13,631.36
2012-03-14,631.86
2012-03-15,631.61
2012-03-16,630.91
2012-03-19,631.11
2012-03-20,631.16
2012-03-21,630.83
2012-03-22,628.46
2012-03-23,629.01
2012-03-26,629.91
2012-03-27,629.11
2012-03-28,629.21
2012-03-29,629.11
2012-03-30,628.41
2012-04-02,628.16
2012-04-03,628.16
2012-04-04,628.16
2012-04-05,630.11
2012-04-06,629.15
2012-04-09,629.41
2012-04-10,629.61
2012-04-11,629.41
2012-04-12,629.31
2012-04-13,629.01
2012-04-16,630.01
2012-04-17,628.61
2012-04-18,628.91
2012-04-19,628.81
2012-04-20,629.31
2012-04-23,629.31
2012-04-24,629.26
2012-04-25,629.06
2012-04-26,629.26
2012-04-27,629.79
2012-04-30,629.79
2012-05-01,629.79
2012-05-02,629.39
2012-05-03,629.29
2012-05-04,629.28
2012-05-07,629.54
2012-05-08,629.52
2012-05-09,629.69
2012-05-10,630.14
2012-05-11,629.74
2012-05-14,630.54
2012-05-15,630.34
2012-05-16,630.74
2012-05-17,631.01
2012-05-18,631.48
2012-05-21,631.43
2012-05-22,630.99
2012-05-23,632.13
2012-05-24,633.08
2012-05-25,633.13
2012-05-28,633.38
2012-05-29,633.43
2012-05-30,634.68
2012-05-31,635.43
2012-06-01,635.58
2012-06-04,634.93
2012-06-05,635.48
2012-06-06,634.93
2012-06-07,635.03
2012-06-08,635.93
2012-06-11,635.43
2012-06-12,635.63
2012-06-13,635.63
2012-06-14,635.53
2012-06-15,635.13
2012-06-18,634.49
2012-06-19,634.22
2012-06-20,634.73
2012-06-21,635.43
2012-06-22,635.43
2012-06-25,635.06
2012-06-26,635.03
2012-06-27,634.23
2012-06-28,634.46
2012-06-29,633.93
2012-07-02,633.53
2012-07-03,633.98
2012-07-04,633.45
2012-07-05,634.23
2012-07-06,635.13
2012-07-09,635.75
2012-07-10,635.13
2012-07-11,635.58
2012-07-12,635.83
2012-07-13,636.63
2012-07-16,636.67
2012-07-17,635.98
2012-07-18,635.78
2012-07-19,635.98
2012-07-20,636.13
2012-07-23,637.33
2012-07-24,637.24
2012-07-25,637.52
2012-07-26,637.1
2012-07-27,636.77
2012-07-30,636.62
2012-07-31,635.13
2012-08-01,635.58
2012-08-02,635.33
2012-08-03,636.03
2012-08-06,636.03
2012-08-07,635.23
2012-08-08,634.73
2012-08-09,634.68
2012-08-10,634.83
2012-08-13,634.83
2012-08-14,634.58
2012-08-15,634.93
2012-08-16,635.13
2012-08-17,634.63
2012-08-20,634.68
2012-08-21,634.23
2012-08-22,633.93
2012-08-23,634.08
2012-08-24,634.23
2012-08-27,634.38
2012-08-28,633.98
2012-08-29,633.88
2012-08-30,633.68
2012-08-31,633.43
2012-09-03,632.74
2012-09-04,633.43
2012-09-05,633.53
2012-09-06,632.93
2012-09-07,632.93
2012-09-10,632.48
